Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:58:10.606000,SAI,55,0 days 00:01:23.931000,44.0,2.0,,,0 days 00:00:27.399000,0 days 00:00:28.778000,0 days 00:00:27.754000,0 days 01:57:14.062000,0 days 01:57:42.840000,0 days 01:58:10.594000,315.0,331.0,317.0,323.0,False,HARD,25.0,True,Ferrari,0 days 01:56:46.675000,2024-09-01 14:04:30.594,1,2.0,False,,False,True
0 days 01:59:35.719000,SAI,55,0 days 00:01:25.113000,45.0,2.0,,,0 days 00:00:27.551000,0 days 00:00:28.996000,0 days 00:00:28.566000,0 days 01:58:38.145000,0 days 01:59:07.141000,0 days 01:59:35.707000,325.0,319.0,316.0,330.0,False,HARD,26.0,True,Ferrari,0 days 01:58:10.606000,2024-09-01 14:05:54.525,1,3.0,False,,False,True
0 days 02:00:59.720000,SAI,55,0 days 00:01:24.001000,46.0,2.0,,,0 days 00:00:27.461000,0 days 00:00:28.804000,0 days 00:00:27.736000,0 days 02:00:03.168000,0 days 02:00:31.972000,0 days 02:00:59.708000,314.0,316.0,315.0,332.0,False,HARD,27.0,True,Ferrari,0 days 01:59:35.719000,2024-09-01 14:07:19.638,1,3.0,False,,False,True
0 days 02:02:23.810000,SAI,55,0 days 00:01:24.090000,47.0,2.0,,,0 days 00:00:27.456000,0 days 00:00:28.735000,0 days 00:00:27.899000,0 days 02:01:27.164000,0 days 02:01:55.899000,0 days 02:02:23.798000,312.0,327.0,311.0,340.0,False,HARD,28.0,True,Ferrari,0 days 02:00:59.720000,2024-09-01 14:08:43.639,1,3.0,False,,False,True
0 days 02:03:48.749000,SAI,55,0 days 00:01:24.939000,48.0,2.0,,,0 days 00:00:27.972000,0 days 00:00:28.998000,0 days 00:00:27.969000,0 days 02:02:51.770000,0 days 02:03:20.768000,0 days 02:03:48.737000,314.0,316.0,315.0,316.0,False,HARD,29.0,True,Ferrari,0 days 02:02:23.810000,2024-09-01 14:10:07.729,1,4.0,False,,False,True
0 days 02:05:12.670000,SAI,55,0 days 00:01:23.921000,49.0,2.0,,,0 days 00:00:27.499000,0 days 00:00:28.614000,0 days 00:00:27.808000,0 days 02:04:16.236000,0 days 02:04:44.850000,0 days 02:05:12.658000,312.0,316.0,315.0,319.0,False,HARD,30.0,True,Ferrari,0 days 02:03:48.749000,2024-09-01 14:11:32.668,1,4.0,False,,False,True
0 days 02:06:36.439000,SAI,55,0 days 00:01:23.769000,50.0,2.0,,,0 days 00:00:27.459000,0 days 00:00:28.604000,0 days 00:00:27.706000,0 days 02:05:40.117000,0 days 02:06:08.721000,0 days 02:06:36.427000,314.0,317.0,315.0,320.0,False,HARD,31.0,True,Ferrari,0 days 02:05:12.670000,2024-09-01 14:12:56.589,1,4.0,False,,False,True
0 days 02:08:00.193000,SAI,55,0 days 00:01:23.754000,51.0,2.0,,,0 days 00:00:27.502000,0 days 00:00:28.499000,0 days 00:00:27.753000,0 days 02:07:03.929000,0 days 02:07:32.428000,0 days 02:08:00.181000,315.0,317.0,314.0,322.0,False,HARD,32.0,True,Ferrari,0 days 02:06:36.439000,2024-09-01 14:14:20.358,1,4.0,False,,False,True
0 days 02:09:23.915000,SAI,55,0 days 00:01:23.722000,52.0,2.0,,,0 days 00:00:27.565000,0 days 00:00:28.536000,0 days 00:00:27.621000,0 days 02:08:27.746000,0 days 02:08:56.282000,0 days 02:09:23.903000,314.0,317.0,315.0,318.0,False,HARD,33.0,True,Ferrari,0 days 02:08:00.193000,2024-09-01 14:15:44.112,1,4.0,False,,False,True
0 days 02:10:47.134000,SAI,55,0 days 00:01:23.219000,53.0,2.0,,,0 days 00:00:27.463000,0 days 00:00:28.237000,0 days 00:00:27.519000,0 days 02:09:51.366000,0 days 02:10:19.603000,0 days 02:10:47.122000,,331.0,315.0,321.0,True,HARD,34.0,True,Ferrari,0 days 02:09:23.915000,2024-09-01 14:17:07.834,1,4.0,False,,False,True
0 days 00:57:20.460000,HAM,44,0 days 00:01:29.674000,1.0,1.0,,,,0 days 00:00:30.629000,0 days 00:00:28.773000,,0 days 00:56:51.843000,0 days 00:57:20.678000,327.0,319.0,314.0,290.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:55:50.494000,2024-09-01 13:03:34.413,1,5.0,False,,False,False
0 days 00:58:46.503000,HAM,44,0 days 00:01:26.043000,2.0,1.0,,,0 days 00:00:27.701000,0 days 00:00:29.754000,0 days 00:00:28.588000,0 days 00:57:48.128000,0 days 00:58:17.882000,0 days 00:58:46.470000,319.0,337.0,311.0,331.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:57:20.460000,2024-09-01 13:05:04.379,1,5.0,False,,False,True
0 days 01:00:12.133000,HAM,44,0 days 00:01:25.630000,3.0,1.0,,,0 days 00:00:27.495000,0 days 00:00:29.688000,0 days 00:00:28.447000,0 days 00:59:13.965000,0 days 00:59:43.653000,0 days 01:00:12.100000,317.0,327.0,311.0,323.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:46.503000,2024-09-01 13:06:30.422,1,5.0,False,,False,True
0 days 01:01:37.855000,HAM,44,0 days 00:01:25.722000,4.0,1.0,,,0 days 00:00:27.650000,0 days 00:00:29.626000,0 days 00:00:28.446000,0 days 01:00:39.750000,0 days 01:01:09.376000,0 days 01:01:37.822000,308.0,311.0,309.0,334.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:00:12.133000,2024-09-01 13:07:56.052,1,5.0,False,,False,True
0 days 01:03:02.626000,HAM,44,0 days 00:01:24.771000,5.0,1.0,,,0 days 00:00:27.451000,0 days 00:00:29.134000,0 days 00:00:28.186000,0 days 01:02:05.273000,0 days 01:02:34.407000,0 days 01:03:02.593000,312.0,315.0,310.0,329.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:01:37.855000,2024-09-01 13:09:21.774,1,5.0,False,,False,True
0 days 01:04:27.545000,HAM,44,0 days 00:01:24.919000,6.0,1.0,,,0 days 00:00:27.565000,0 days 00:00:29.213000,0 days 00:00:28.141000,0 days 01:03:30.158000,0 days 01:03:59.371000,0 days 01:04:27.512000,315.0,317.0,310.0,325.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:03:02.626000,2024-09-01 13:10:46.545,1,5.0,False,,False,True
0 days 01:05:52.750000,HAM,44,0 days 00:01:25.205000,7.0,1.0,,,0 days 00:00:27.635000,0 days 00:00:29.267000,0 days 00:00:28.303000,0 days 01:04:55.147000,0 days 01:05:24.414000,0 days 01:05:52.717000,316.0,318.0,309.0,326.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:04:27.545000,2024-09-01 13:12:11.464,1,5.0,False,,False,True
0 days 01:07:17.621000,HAM,44,0 days 00:01:24.871000,8.0,1.0,,,0 days 00:00:27.605000,0 days 00:00:28.975000,0 days 00:00:28.291000,0 days 01:06:20.322000,0 days 01:06:49.297000,0 days 01:07:17.588000,315.0,318.0,309.0,323.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:05:52.750000,2024-09-01 13:13:36.669,1,5.0,False,,False,True
0 days 01:08:42.656000,HAM,44,0 days 00:01:25.035000,9.0,1.0,,,0 days 00:00:27.790000,0 days 00:00:29.067000,0 days 00:00:28.178000,0 days 01:07:45.378000,0 days 01:08:14.445000,0 days 01:08:42.623000,313.0,316.0,309.0,322.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:07:17.621000,2024-09-01 13:15:01.540,1,5.0,False,,False,True
0 days 01:10:07.565000,HAM,44,0 days 00:01:24.909000,10.0,1.0,,,0 days 00:00:27.537000,0 days 00:00:29.196000,0 days 00:00:28.176000,0 days 01:09:10.160000,0 days 01:09:39.356000,0 days 01:10:07.532000,,316.0,310.0,324.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:08:42.656000,2024-09-01 13:16:26.575,1,5.0,False,,False,True
0 days 01:11:32.503000,HAM,44,0 days 00:01:24.938000,11.0,1.0,,,0 days 00:00:27.640000,0 days 00:00:29.078000,0 days 00:00:28.220000,0 days 01:10:35.172000,0 days 01:11:04.250000,0 days 01:11:32.470000,,316.0,310.0,323.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:10:07.565000,2024-09-01 13:17:51.484,1,5.0,False,,False,True
0 days 01:12:57.435000,HAM,44,0 days 00:01:24.932000,12.0,1.0,,,0 days 00:00:27.672000,0 days 00:00:28.987000,0 days 00:00:28.273000,0 days 01:12:00.142000,0 days 01:12:29.129000,0 days 01:12:57.402000,312.0,316.0,309.0,324.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:11:32.503000,2024-09-01 13:19:16.422,1,5.0,False,,False,True
0 days 01:14:22.764000,HAM,44,0 days 00:01:25.329000,13.0,1.0,,,0 days 00:00:27.618000,0 days 00:00:29.205000,0 days 00:00:28.506000,0 days 01:13:25.020000,0 days 01:13:54.225000,0 days 01:14:22.731000,315.0,317.0,308.0,329.0,False,MEDIUM,13.0,True,Mercedes,0 days 01:12:57.435000,2024-09-01 13:20:41.354,1,5.0,False,,False,True
0 days 01:15:48.581000,HAM,44,0 days 00:01:25.817000,14.0,1.0,,,0 days 00:00:27.774000,0 days 00:00:29.496000,0 days 00:00:28.547000,0 days 01:14:50.505000,0 days 01:15:20.001000,0 days 01:15:48.548000,314.0,316.0,309.0,327.0,False,MEDIUM,14.0,True,Mercedes,0 days 01:14:22.764000,2024-09-01 13:22:06.683,1,5.0,False,,False,True
0 days 01:17:18.946000,HAM,44,0 days 00:01:30.365000,15.0,1.0,,0 days 01:17:15.039000,0 days 00:00:27.855000,0 days 00:00:29.557000,0 days 00:00:32.953000,0 days 01:16:16.403000,0 days 01:16:45.960000,0 days 01:17:18.913000,319.0,316.0,,337.0,False,MEDIUM,15.0,True,Mercedes,0 days 01:15:48.581000,2024-09-01 13:23:32.500,1,6.0,False,,False,False
0 days 01:19:04.610000,HAM,44,0 days 00:01:45.664000,16.0,2.0,0 days 01:17:39.828000,,0 days 00:00:47.705000,0 days 00:00:29.604000,0 days 00:00:28.355000,0 days 01:18:06.618000,0 days 01:18:36.222000,0 days 01:19:04.577000,322.0,311.0,312.0,282.0,False,HARD,1.0,True,Mercedes,0 days 01:17:18.946000,2024-09-01 13:25:02.865,1,10.0,False,,False,False
0 days 01:20:29.453000,HAM,44,0 days 00:01:24.843000,17.0,2.0,,,0 days 00:00:27.547000,0 days 00:00:29.109000,0 days 00:00:28.187000,0 days 01:19:32.124000,0 days 01:20:01.233000,0 days 01:20:29.420000,313.0,317.0,314.0,320.0,False,HARD,2.0,True,Mercedes,0 days 01:19:04.610000,2024-09-01 13:26:48.529,1,10.0,False,,False,True
0 days 01:21:54.284000,HAM,44,0 days 00:01:24.831000,18.0,2.0,,,0 days 00:00:27.403000,0 days 00:00:29.345000,0 days 00:00:28.083000,0 days 01:20:56.823000,0 days 01:21:26.168000,0 days 01:21:54.251000,332.0,314.0,312.0,324.0,False,HARD,3.0,True,Mercedes,0 days 01:20:29.453000,2024-09-01 13:28:13.372,1,8.0,False,,False,True
0 days 01:23:18.933000,HAM,44,0 days 00:01:24.649000,19.0,2.0,,,0 days 00:00:27.623000,0 days 00:00:29,0 days 00:00:28.026000,0 days 01:22:21.874000,0 days 01:22:50.874000,0 days 01:23:18.900000,311.0,315.0,313.0,320.0,True,HARD,4.0,True,Mercedes,0 days 01:21:54.284000,2024-09-01 13:29:38.203,1,8.0,False,,False,True
0 days 01:24:43.573000,HAM,44,0 days 00:01:24.640000,20.0,2.0,,,0 days 00:00:27.535000,0 days 00:00:29.101000,0 days 00:00:28.004000,0 days 01:23:46.435000,0 days 01:24:15.536000,0 days 01:24:43.540000,330.0,327.0,313.0,337.0,True,HARD,5.0,True,Mercedes,0 days 01:23:18.933000,2024-09-01 13:31:02.852,1,7.0,False,,False,True
0 days 01:26:08.488000,HAM,44,0 days 00:01:24.915000,21.0,2.0,,,0 days 00:00:27.503000,0 days 00:00:29.277000,0 days 00:00:28.135000,0 days 01:25:11.043000,0 days 01:25:40.320000,0 days 01:26:08.455000,315.0,317.0,313.0,340.0,False,HARD,6.0,True,Mercedes,0 days 01:24:43.573000,2024-09-01 13:32:27.492,1,7.0,False,,False,True
0 days 01:27:33.101000,HAM,44,0 days 00:01:24.613000,22.0,2.0,,,0 days 00:00:27.506000,0 days 00:00:29.050000,0 days 00:00:28.057000,0 days 01:26:35.961000,0 days 01:27:05.011000,0 days 01:27:33.068000,314.0,314.0,312.0,326.0,True,HARD,7.0,True,Mercedes,0 days 01:26:08.488000,2024-09-01 13:33:52.407,1,7.0,False,,False,True
0 days 01:28:57.233000,HAM,44,0 days 00:01:24.132000,23.0,2.0,,,0 days 00:00:27.498000,0 days 00:00:28.807000,0 days 00:00:27.827000,0 days 01:28:00.566000,0 days 01:28:29.373000,0 days 01:28:57.200000,316.0,317.0,313.0,324.0,True,HARD,8.0,True,Mercedes,0 days 01:27:33.101000,2024-09-01 13:35:17.020,1,6.0,False,,False,True
0 days 01:30:21.051000,HAM,44,0 days 00:01:23.818000,24.0,2.0,,,0 days 00:00:27.401000,0 days 00:00:28.687000,0 days 00:00:27.730000,0 days 01:29:24.601000,0 days 01:29:53.288000,0 days 01:30:21.018000,318.0,319.0,313.0,328.0,True,HARD,9.0,True,Mercedes,0 days 01:28:57.233000,2024-09-01 13:36:41.152,1,5.0,False,,False,True
0 days 01:31:44.855000,HAM,44,0 days 00:01:23.804000,25.0,2.0,,,0 days 00:00:27.382000,0 days 00:00:28.683000,0 days 00:00:27.739000,0 days 01:30:48.400000,0 days 01:31:17.083000,0 days 01:31:44.822000,317.0,318.0,313.0,326.0,True,HARD,10.0,True,Mercedes,0 days 01:30:21.051000,2024-09-01 13:38:04.970,1,5.0,False,,False,True
0 days 01:33:08.528000,HAM,44,0 days 00:01:23.673000,26.0,2.0,,,0 days 00:00:27.426000,0 days 00:00:28.517000,0 days 00:00:27.730000,0 days 01:32:12.248000,0 days 01:32:40.765000,0 days 01:33:08.495000,,318.0,313.0,,True,HARD,11.0,True,Mercedes,0 days 01:31:44.855000,2024-09-01 13:39:28.774,1,5.0,False,,False,True
0 days 01:34:32.023000,HAM,44,0 days 00:01:23.495000,27.0,2.0,,,0 days 00:00:27.368000,0 days 00:00:28.429000,0 days 00:00:27.698000,0 days 01:33:35.863000,0 days 01:34:04.292000,0 days 01:34:31.990000,,319.0,314.0,327.0,True,HARD,12.0,True,Mercedes,0 days 01:33:08.528000,2024-09-01 13:40:52.447,1,5.0,False,,False,True
0 days 01:35:55.663000,HAM,44,0 days 00:01:23.640000,28.0,2.0,,,0 days 00:00:27.387000,0 days 00:00:28.677000,0 days 00:00:27.576000,0 days 01:34:59.377000,0 days 01:35:28.054000,0 days 01:35:55.630000,319.0,319.0,314.0,331.0,False,HARD,13.0,True,Mercedes,0 days 01:34:32.023000,2024-09-01 13:42:15.942,1,5.0,False,,False,True
0 days 01:37:19.170000,HAM,44,0 days 00:01:23.507000,29.0,2.0,,,0 days 00:00:27.354000,0 days 00:00:28.585000,0 days 00:00:27.568000,0 days 01:36:22.984000,0 days 01:36:51.569000,0 days 01:37:19.137000,318.0,319.0,314.0,328.0,False,HARD,14.0,True,Mercedes,0 days 01:35:55.663000,2024-09-01 13:43:39.582,1,5.0,False,,False,True
0 days 01:38:42.615000,HAM,44,0 days 00:01:23.445000,30.0,2.0,,,0 days 00:00:27.347000,0 days 00:00:28.553000,0 days 00:00:27.545000,0 days 01:37:46.484000,0 days 01:38:15.037000,0 days 01:38:42.582000,319.0,323.0,314.0,327.0,True,HARD,15.0,True,Mercedes,0 days 01:37:19.170000,2024-09-01 13:45:03.089,1,5.0,False,,False,True
0 days 01:40:05.975000,HAM,44,0 days 00:01:23.360000,31.0,2.0,,,0 days 00:00:27.406000,0 days 00:00:28.477000,0 days 00:00:27.477000,0 days 01:39:09.988000,0 days 01:39:38.465000,0 days 01:40:05.942000,,320.0,314.0,328.0,True,HARD,16.0,True,Mercedes,0 days 01:38:42.615000,2024-09-01 13:46:26.534,1,5.0,False,,False,True
0 days 01:41:29.303000,HAM,44,0 days 00:01:23.328000,32.0,2.0,,,0 days 00:00:27.289000,0 days 00:00:28.539000,0 days 00:00:27.500000,0 days 01:40:33.231000,0 days 01:41:01.770000,0 days 01:41:29.270000,,320.0,314.0,330.0,True,HARD,17.0,True,Mercedes,0 days 01:40:05.975000,2024-09-01 13:47:49.894,1,5.0,False,,False,True
0 days 01:42:52.700000,HAM,44,0 days 00:01:23.397000,33.0,2.0,,,0 days 00:00:27.300000,0 days 00:00:28.473000,0 days 00:00:27.624000,0 days 01:41:56.570000,0 days 01:42:25.043000,0 days 01:42:52.667000,,320.0,314.0,328.0,False,HARD,18.0,True,Mercedes,0 days 01:41:29.303000,2024-09-01 13:49:13.222,1,4.0,False,,False,True
0 days 01:44:16.231000,HAM,44,0 days 00:01:23.531000,34.0,2.0,,,0 days 00:00:27.419000,0 days 00:00:28.494000,0 days 00:00:27.618000,0 days 01:43:20.086000,0 days 01:43:48.580000,0 days 01:44:16.198000,,320.0,314.0,,False,HARD,19.0,True,Mercedes,0 days 01:42:52.700000,2024-09-01 13:50:36.619,1,4.0,False,,False,True
0 days 01:45:39.609000,HAM,44,0 days 00:01:23.378000,35.0,2.0,,,0 days 00:00:27.375000,0 days 00:00:28.400000,0 days 00:00:27.603000,0 days 01:44:43.573000,0 days 01:45:11.973000,0 days 01:45:39.576000,,320.0,314.0,,False,HARD,20.0,True,Mercedes,0 days 01:44:16.231000,2024-09-01 13:52:00.150,1,4.0,False,,False,True
0 days 01:47:03.210000,HAM,44,0 days 00:01:23.601000,36.0,2.0,,,0 days 00:00:27.404000,0 days 00:00:28.475000,0 days 00:00:27.722000,0 days 01:46:06.980000,0 days 01:46:35.455000,0 days 01:47:03.177000,,320.0,313.0,327.0,False,HARD,21.0,True,Mercedes,0 days 01:45:39.609000,2024-09-01 13:53:23.528,1,4.0,False,,False,True
0 days 01:48:31.559000,HAM,44,0 days 00:01:28.349000,37.0,2.0,,0 days 01:48:27.801000,0 days 00:00:27.414000,0 days 00:00:28.692000,0 days 00:00:32.243000,0 days 01:47:30.591000,0 days 01:47:59.283000,0 days 01:48:31.526000,,319.0,,328.0,False,HARD,22.0,True,Mercedes,0 days 01:47:03.210000,2024-09-01 13:54:47.129,1,4.0,False,,False,False
0 days 01:50:13.985000,HAM,44,0 days 00:01:42.426000,38.0,3.0,0 days 01:48:51.955000,,0 days 00:00:46.782000,0 days 00:00:28.180000,0 days 00:00:27.464000,0 days 01:49:18.308000,0 days 01:49:46.488000,0 days 01:50:13.952000,323.0,312.0,313.0,285.0,False,HARD,1.0,True,Mercedes,0 days 01:48:31.559000,2024-09-01 13:56:15.478,1,6.0,False,,False,False
0 days 01:51:36.953000,HAM,44,0 days 00:01:22.968000,39.0,3.0,,,0 days 00:00:27.319000,0 days 00:00:28.185000,0 days 00:00:27.464000,0 days 01:50:41.271000,0 days 01:51:09.456000,0 days 01:51:36.920000,312.0,315.0,314.0,320.0,True,HARD,2.0,True,Mercedes,0 days 01:50:13.985000,2024-09-01 13:57:57.904,1,6.0,False,,False,True
0 days 01:52:59.965000,HAM,44,0 days 00:01:23.012000,40.0,3.0,,,0 days 00:00:27.251000,0 days 00:00:28.312000,0 days 00:00:27.449000,0 days 01:52:04.171000,0 days 01:52:32.483000,0 days 01:52:59.932000,311.0,316.0,314.0,321.0,False,HARD,3.0,True,Mercedes,0 days 01:51:36.953000,2024-09-01 13:59:20.872,1,6.0,False,,False,True
0 days 01:54:22.892000,HAM,44,0 days 00:01:22.927000,41.0,3.0,,,0 days 00:00:27.270000,0 days 00:00:28.351000,0 days 00:00:27.306000,0 days 01:53:27.202000,0 days 01:53:55.553000,0 days 01:54:22.859000,312.0,316.0,314.0,323.0,True,HARD,4.0,True,Mercedes,0 days 01:52:59.965000,2024-09-01 14:00:43.884,1,6.0,False,,False,True
0 days 01:55:45.412000,HAM,44,0 days 00:01:22.520000,42.0,3.0,,,0 days 00:00:27.153000,0 days 00:00:28.040000,0 days 00:00:27.327000,0 days 01:54:50.012000,0 days 01:55:18.052000,0 days 01:55:45.379000,314.0,317.0,314.0,326.0,True,HARD,5.0,True,Mercedes,0 days 01:54:22.892000,2024-09-01 14:02:06.811,1,5.0,False,,False,True
0 days 01:57:07.808000,HAM,44,0 days 00:01:22.396000,43.0,3.0,,,0 days 00:00:27.199000,0 days 00:00:27.994000,0 days 00:00:27.203000,0 days 01:56:12.578000,0 days 01:56:40.572000,0 days 01:57:07.775000,316.0,320.0,315.0,324.0,True,HARD,6.0,True,Mercedes,0 days 01:55:45.412000,2024-09-01 14:03:29.331,1,5.0,False,,False,True
0 days 01:58:29.944000,HAM,44,0 days 00:01:22.136000,44.0,3.0,,,0 days 00:00:27.070000,0 days 00:00:27.861000,0 days 00:00:27.205000,0 days 01:57:34.845000,0 days 01:58:02.706000,0 days 01:58:29.911000,,318.0,316.0,326.0,True,HARD,7.0,True,Mercedes,0 days 01:57:07.808000,2024-09-01 14:04:51.727,1,5.0,False,,False,True
0 days 01:59:52.120000,HAM,44,0 days 00:01:22.176000,45.0,3.0,,,0 days 00:00:27.054000,0 days 00:00:27.860000,0 days 00:00:27.262000,0 days 01:58:56.965000,0 days 01:59:24.825000,0 days 01:59:52.087000,317.0,319.0,316.0,327.0,False,HARD,8.0,True,Mercedes,0 days 01:58:29.944000,2024-09-01 14:06:13.863,1,5.0,False,,False,True
0 days 02:01:14.427000,HAM,44,0 days 00:01:22.307000,46.0,3.0,,,0 days 00:00:27.202000,0 days 00:00:27.858000,0 days 00:00:27.247000,0 days 02:00:19.289000,0 days 02:00:47.147000,0 days 02:01:14.394000,,319.0,315.0,,False,HARD,9.0,True,Mercedes,0 days 01:59:52.120000,2024-09-01 14:07:36.039,1,5.0,False,,False,True
0 days 02:02:36.898000,HAM,44,0 days 00:01:22.471000,47.0,3.0,,,0 days 00:00:27.347000,0 days 00:00:27.921000,0 days 00:00:27.203000,0 days 02:01:41.741000,0 days 02:02:09.662000,0 days 02:02:36.865000,318.0,321.0,316.0,329.0,False,HARD,10.0,True,Mercedes,0 days 02:01:14.427000,2024-09-01 14:08:58.346,1,5.0,False,,False,True
0 days 02:03:59.692000,HAM,44,0 days 00:01:22.794000,48.0,3.0,,,0 days 00:00:27.345000,0 days 00:00:28.080000,0 days 00:00:27.369000,0 days 02:03:04.210000,0 days 02:03:32.290000,0 days 02:03:59.659000,319.0,324.0,317.0,333.0,False,HARD,11.0,True,Mercedes,0 days 02:02:36.898000,2024-09-01 14:10:20.817,1,5.0,False,,False,True
0 days 02:05:22.138000,HAM,44,0 days 00:01:22.446000,49.0,3.0,,,0 days 00:00:27.239000,0 days 00:00:28.038000,0 days 00:00:27.169000,0 days 02:04:26.898000,0 days 02:04:54.936000,0 days 02:05:22.105000,,322.0,316.0,328.0,False,HARD,12.0,True,Mercedes,0 days 02:03:59.692000,2024-09-01 14:11:43.611,1,5.0,False,,False,True
0 days 02:06:44.381000,HAM,44,0 days 00:01:22.243000,50.0,3.0,,,0 days 00:00:27.129000,0 days 00:00:27.892000,0 days 00:00:27.222000,0 days 02:05:49.234000,0 days 02:06:17.126000,0 days 02:06:44.348000,318.0,320.0,317.0,326.0,False,HARD,13.0,True,Mercedes,0 days 02:05:22.138000,2024-09-01 14:13:06.057,1,5.0,False,,False,True
0 days 02:08:07.118000,HAM,44,0 days 00:01:22.737000,51.0,3.0,,,0 days 00:00:27.129000,0 days 00:00:28.190000,0 days 00:00:27.418000,,0 days 02:07:39.667000,0 days 02:08:07.085000,317.0,319.0,317.0,328.0,False,HARD,14.0,True,Mercedes,0 days 02:06:44.381000,2024-09-01 14:14:28.300,1,5.0,False,,False,True
0 days 02:09:32.821000,HAM,44,0 days 00:01:25.703000,52.0,3.0,,,0 days 00:00:27.261000,0 days 00:00:29.697000,0 days 00:00:28.745000,0 days 02:08:34.346000,0 days 02:09:04.043000,0 days 02:09:32.788000,315.0,309.0,317.0,327.0,False,HARD,15.0,True,Mercedes,0 days 02:08:07.118000,2024-09-01 14:15:51.037,1,5.0,False,,False,True
0 days 02:10:54.333000,HAM,44,0 days 00:01:21.512000,53.0,3.0,,,0 days 00:00:27.069000,0 days 00:00:27.439000,0 days 00:00:27.004000,0 days 02:09:59.857000,0 days 02:10:27.296000,0 days 02:10:54.300000,325.0,330.0,311.0,338.0,True,HARD,16.0,True,Mercedes,0 days 02:09:32.821000,2024-09-01 14:17:16.740,1,5.0,False,,False,True
0 days 00:57:21.140000,VER,1,0 days 00:01:30.354000,1.0,1.0,,,,0 days 00:00:31.144000,0 days 00:00:28.856000,,0 days 00:56:52.426000,0 days 00:57:21.221000,327.0,316.0,312.0,298.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:55:50.494000,2024-09-01 13:03:34.413,1,6.0,False,,False,False
0 days 00:58:47.310000,VER,1,0 days 00:01:26.170000,2.0,1.0,,,0 days 00:00:28.048000,0 days 00:00:29.474000,0 days 00:00:28.648000,0 days 00:57:49.171000,0 days 00:58:18.645000,0 days 00:58:47.293000,315.0,334.0,311.0,316.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:57:21.140000,2024-09-01 13:05:05.059,1,6.0,False,,False,True
0 days 01:00:13.165000,VER,1,0 days 00:01:25.855000,3.0,1.0,,,0 days 00:00:27.731000,0 days 00:00:29.496000,0 days 00:00:28.628000,0 days 00:59:15.024000,0 days 00:59:44.520000,0 days 01:00:13.148000,314.0,332.0,312.0,321.0,True,HARD,3.0,True,Red Bull Racing,0 days 00:58:47.310000,2024-09-01 13:06:31.229,1,6.0,False,,False,True
0 days 01:01:38.798000,VER,1,0 days 00:01:25.633000,4.0,1.0,,,0 days 00:00:27.884000,0 days 00:00:29.335000,0 days 00:00:28.414000,0 days 01:00:41.032000,0 days 01:01:10.367000,0 days 01:01:38.781000,313.0,318.0,312.0,317.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:00:13.165000,2024-09-01 13:07:57.084,1,6.0,False,,False,True
0 days 01:03:04.016000,VER,1,0 days 00:01:25.218000,5.0,1.0,,,0 days 00:00:27.721000,0 days 00:00:29.220000,0 days 00:00:28.277000,0 days 01:02:06.502000,0 days 01:02:35.722000,0 days 01:03:03.999000,,318.0,312.0,,True,HARD,5.0,True,Red Bull Racing,0 days 01:01:38.798000,2024-09-01 13:09:22.717,1,6.0,False,,False,True
0 days 01:04:29.112000,VER,1,0 days 00:01:25.096000,6.0,1.0,,,0 days 00:00:27.832000,0 days 00:00:29.054000,0 days 00:00:28.210000,0 days 01:03:31.831000,0 days 01:04:00.885000,0 days 01:04:29.095000,,318.0,312.0,316.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:03:04.016000,2024-09-01 13:10:47.935,1,6.0,False,,False,True
0 days 01:05:54.154000,VER,1,0 days 00:01:25.042000,7.0,1.0,,,0 days 00:00:27.771000,0 days 00:00:28.994000,0 days 00:00:28.277000,0 days 01:04:56.866000,0 days 01:05:25.860000,0 days 01:05:54.137000,,319.0,311.0,314.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:04:29.112000,2024-09-01 13:12:13.031,1,6.0,False,,False,True
